Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
02-01-2025,26919.612434127546,CarGurus Index,28010,0.47,2.99,0.71
02-03-2025,26914.541355537156,CarGurus Index,28010,0.47,2.99,0.71
02-05-2025,26913.762571404688,CarGurus Index,28010,0.47,2.99,0.71
02-07-2025,26914.144264489245,CarGurus Index,28010,0.47,2.99,0.71
02-09-2025,26927.953333093497,CarGurus Index,28010,0.47,2.99,0.71
02-11-2025,26936.764539854164,CarGurus Index,28010,0.47,2.99,0.71
02-13-2025,26913.02942470352,CarGurus Index,28010,0.47,2.99,0.71
02-15-2025,26928.71770611697,CarGurus Index,28010,0.47,2.99,0.71
02-17-2025,26953.003418530596,CarGurus Index,28010,0.47,2.99,0.71
02-19-2025,26940.8747469671,CarGurus Index,28010,0.47,2.99,0.71
02-21-2025,26936.34478644109,CarGurus Index,28010,0.47,2.99,0.71
02-23-2025,26948.240001896884,CarGurus Index,28010,0.47,2.99,0.71
02-25-2025,26949.111361999847,CarGurus Index,28010,0.47,2.99,0.71
02-27-2025,26940.964940857553,CarGurus Index,28010,0.47,2.99,0.71
03-01-2025,26955.55473226432,CarGurus Index,28010,0.47,2.99,0.71
03-03-2025,26983.378860737717,CarGurus Index,28010,0.47,2.99,0.71
03-05-2025,26957.66745616956,CarGurus Index,28010,0.47,2.99,0.71
03-07-2025,26979.321429375534,CarGurus Index,28010,0.47,2.99,0.71
03-09-2025,27000.453841476996,CarGurus Index,28010,0.47,2.99,0.71
03-11-2025,27000.34274095285,CarGurus Index,28010,0.47,2.99,0.71
03-13-2025,26984.780916790343,CarGurus Index,28010,0.47,2.99,0.71
03-15-2025,27004.716733950663,CarGurus Index,28010,0.47,2.99,0.71
03-17-2025,27018.341404256273,CarGurus Index,28010,0.47,2.99,0.71
03-19-2025,26999.73533343625,CarGurus Index,28010,0.47,2.99,0.71
03-21-2025,26997.952992741426,CarGurus Index,28010,0.47,2.99,0.71
03-23-2025,27020.078388451144,CarGurus Index,28010,0.47,2.99,0.71
03-25-2025,27045.706507467807,CarGurus Index,28010,0.47,2.99,0.71
03-27-2025,27051.107880457537,CarGurus Index,28010,0.47,2.99,0.71
03-29-2025,27117.476947549316,CarGurus Index,28010,0.47,2.99,0.71
03-31-2025,27196.504810308717,CarGurus Index,28010,0.47,2.99,0.71
04-02-2025,27247.002143024853,CarGurus Index,28010,0.47,2.99,0.71
04-04-2025,27335.722867076205,CarGurus Index,28010,0.47,2.99,0.71
04-06-2025,27437.630389988397,CarGurus Index,28010,0.47,2.99,0.71
04-08-2025,27489.68551527515,CarGurus Index,28010,0.47,2.99,0.71
04-10-2025,27510.30663268932,CarGurus Index,28010,0.47,2.99,0.71
04-12-2025,27548.41023698692,CarGurus Index,28010,0.47,2.99,0.71
04-14-2025,27591.627655458735,CarGurus Index,28010,0.47,2.99,0.71
04-16-2025,27604.554161116437,CarGurus Index,28010,0.47,2.99,0.71
04-18-2025,27621.93343959084,CarGurus Index,28010,0.47,2.99,0.71
04-20-2025,27662.091377381425,CarGurus Index,28010,0.47,2.99,0.71
04-22-2025,27683.531552870252,CarGurus Index,28010,0.47,2.99,0.71
04-24-2025,27681.637037034743,CarGurus Index,28010,0.47,2.99,0.71
04-26-2025,27706.24692910138,CarGurus Index,28010,0.47,2.99,0.71
04-28-2025,27734.499767734636,CarGurus Index,28010,0.47,2.99,0.71
04-30-2025,27717.10971514423,CarGurus Index,28010,0.47,2.99,0.71
05-02-2025,27726.110254142764,CarGurus Index,28010,0.47,2.99,0.71
05-04-2025,27749.547431455117,CarGurus Index,28010,0.47,2.99,0.71
05-06-2025,27761.76395393588,CarGurus Index,28010,0.47,2.99,0.71
05-08-2025,27767.62083540414,CarGurus Index,28010,0.47,2.99,0.71
05-10-2025,27787.65371143605,CarGurus Index,28010,0.47,2.99,0.71
05-12-2025,27813.37269300517,CarGurus Index,28010,0.47,2.99,0.71
05-14-2025,27815.741295995118,CarGurus Index,28010,0.47,2.99,0.71
05-16-2025,27826.80762676807,CarGurus Index,28010,0.47,2.99,0.71
05-18-2025,27851.720550908703,CarGurus Index,28010,0.47,2.99,0.71
05-20-2025,27865.73969161289,CarGurus Index,28010,0.47,2.99,0.71
05-22-2025,27852.222766597548,CarGurus Index,28010,0.47,2.99,0.71
05-24-2025,27874.22975958979,CarGurus Index,28010,0.47,2.99,0.71
05-26-2025,27905.29657780109,CarGurus Index,28010,0.47,2.99,0.71
